星期,最高,最低,天气,风向,风力,AQI
星期六,29℃,20℃,霾~雷阵雨,无持续,1,145
星期二,11℃,6℃,小雨~阴,北,2,15
星期一,12℃,-3℃,晴,北,3,177
星期五,28℃,18℃,阴,南,2,90
星期日,-2℃,-10℃,晴,北,3,36
星期四,30℃,17℃,晴~阴,南,2,63
星期六,7℃,-2℃,多云~阴,无持续,1,39
星期五,25℃,13℃,阵雨~多云,东,2,59
星期六,8℃,-4℃,霾~晴,无持续,1,315
星期四,5℃,-5℃,多云~晴,西北,3,28
星期四,7℃,-4℃,多云,北,4,159
星期四,28℃,23℃,阴~多云,南,2,62
星期三,34℃,19℃,晴,南,2,103
星期三,23℃,12℃,阴,无持续,1,165
星期三,12℃,1℃,晴,无持续,1,132
星期五,5℃,-5℃,晴,西南,2,93
星期三,28℃,22℃,雷阵雨~阴,东,2,85
星期四,7℃,-4℃,晴,北,3,46
星期五,17℃,5℃,晴,西南,2,47
星期六,22℃,11℃,多云~晴,北,4,70
星期六,19℃,5℃,晴,北,4,27
星期一,16℃,5℃,多云~晴,南,2,54
星期二,31℃,21℃,多云~阴,无持续,1,42
星期一,8℃,-4℃,晴~霾,无持续,1,81
星期四,7℃,-1℃,晴,南,2,77
星期四,18℃,6℃,霾~雾,无持续,1,337
星期二,20℃,12℃,阴~小雨,南,3,179
星期五,32℃,18℃,晴,南,3,78
星期三,28℃,18℃,晴~多云,无持续,1,93
星期五,30℃,22℃,多云~阴,南,2,55
星期三,15℃,3℃,晴,北,3,42
星期四,24℃,13℃,晴~阴,南,3,200
星期三,16℃,6℃,多云~阴,西,2,24
星期二,3℃,-3℃,雨夹雪,无持续,1,128
星期六,5℃,-6℃,晴,西南,3,53
星期二,30℃,24℃,阵雨,无持续,1,93
星期四,17℃,3℃,霾~雾,无持续,1,317
星期日,29℃,23℃,雷阵雨,南,2,64
星期六,26℃,8℃,晴,无持续,1,173
星期三,23℃,10℃,多云~晴,南,2,52
星期六,28℃,17℃,多云~阴,南,2,119
星期五,11℃,-1℃,晴,西北,5,43
星期六,28℃,24℃,阴,南,2,38
星期四,34℃,22℃,晴~多云,无持续,1,55
星期六,30℃,21℃,阴,东南,2,127
星期一,23℃,11℃,多云,北,3,70
星期四,31℃,20℃,晴~多云,南,3,95
星期三,9℃,0℃,霾~小雨,无持续,1,125
星期六,35℃,22℃,晴,无持续,1,38
星期四,19℃,14℃,小雨~小到中雨,无持续,1,101
星期一,19℃,10℃,多云,南,3,96
星期日,31℃,18℃,阴~多云,南,2,74
星期日,34℃,23℃,多云,南,2,117
星期二,23℃,13℃,小雨~阴,北,3,79
星期四,25℃,10℃,多云~阴,南,2,126
星期三,3℃,-6℃,晴,北,3,34
星期日,19℃,5℃,晴,无持续,1,125
星期二,25℃,14℃,多云~阴,无持续,1,110
星期二,24℃,18℃,雷阵雨~阵雨,无持续,1,55
星期六,26℃,13℃,晴,无持续,1,47
星期一,32℃,24℃,多云~雷阵雨,南,2,101
星期六,26℃,19℃,阴,南,2,157
星期日,12℃,1℃,晴,北,3,27
星期二,0℃,-8℃,晴,无持续,1,35
星期六,0℃,-8℃,晴,东北,4,59
星期六,27℃,13℃,多云,南,3,83
星期一,28℃,15℃,阴~小雨,西南,3,99
星期二,34℃,22℃,多云~阴,南,2,79
星期日,36℃,24℃,晴~阴,无持续,1,75
星期六,30℃,25℃,雷阵雨~多云,无持续,1,179
星期三,24℃,16℃,多云,无持续,1,90
星期四,27℃,19℃,阴,南,2,106
星期四,4℃,-7℃,晴~多云,无持续,1,64
星期五,32℃,20℃,雷阵雨~多云,北,3,77
星期二,33℃,25℃,阵雨,南,2,90
星期二,26℃,14℃,晴~多云,无持续,1,37
星期三,22℃,10℃,晴,西南,3,55
星期一,28℃,20℃,阴,西南,2,120
星期一,28℃,18℃,阴,西南,2,110
星期日,19℃,8℃,多云,东南,2,94
星期四,22℃,12℃,晴~多云,无持续,1,70
星期一,5℃,-4℃,晴,北,3,40
星期一,26℃,18℃,多云,无持续,1,54
星期三,31℃,25℃,阴~多云,南,2,99
星期五,31℃,21℃,晴~多云,无持续,1,44
星期二,16℃,4℃,晴,西南,2,82
星期六,12℃,-1℃,晴,北,4,205
星期二,28℃,22℃,雷阵雨~中到大雨,北,2,100
星期四,24℃,8℃,晴,北,3,141
星期四,6℃,-4℃,多云~晴,无持续,1,51
星期五,28℃,15℃,多云~晴,无持续,1,152
星期三,3℃,-3℃,霾,无持续,1,429
星期五,31℃,17℃,晴,南,2,82
星期三,9℃,-3℃,阴~晴,北,3,111
星期一,20℃,7℃,晴~多云,无持续,1,160
星期二,9℃,-1℃,晴,北,3,29
星期二,32℃,24℃,雷阵雨~晴,无持续,1,57
星期四,33℃,25℃,雷阵雨~中到大雨,南,2,124
星期二,8℃,-2℃,多云~晴,西南,3,174
星期二,22℃,7℃,晴,北,3,66
星期三,30℃,20℃,多云~晴,无持续,1,142
星期六,18℃,8℃,多云,北,3,35
星期六,12℃,2℃,晴~霾,无持续,1,104
星期日,27℃,14℃,阴,南,3,134
星期日,31℃,21℃,多云~晴,南,2,71
星期五,16℃,4℃,多云~阴,南,2,53
星期日,21℃,15℃,小雨~晴,无持续,1,39
星期四,2℃,-7℃,晴,北,3,31
星期三,27℃,19℃,多云,西南,2,76
星期六,18℃,5℃,晴,北,3,38
