最高,最低,风力,AQI
31℃,13℃,5,90
-11℃,-14℃,5,67
11℃,-1℃,5,43
4℃,-5℃,5,28
1℃,-8℃,5,89
27℃,10℃,4,57
23℃,11℃,4,64
22℃,11℃,4,70
-3℃,-11℃,4,56
24℃,12℃,4,49
28℃,13℃,4,46
25℃,13℃,4,132
28℃,15℃,4,64
27℃,16℃,4,80
-6℃,-16℃,4,30
31℃,18℃,4,50
12℃,-1℃,4,205
13℃,2℃,4,31
11℃,2℃,4,67
9℃,-2℃,4,39
7℃,-2℃,4,147
15℃,-2℃,4,161
12℃,-2℃,4,86
9℃,-3℃,4,43
8℃,-3℃,4,40
8℃,-4℃,4,56
7℃,-4℃,4,159
19℃,5℃,4,27
8℃,-6℃,4,219
4℃,-6℃,4,30
1℃,-8℃,4,92
0℃,-8℃,4,59
23℃,9℃,4,70
22℃,10℃,3,55
19℃,10℃,3,96
-2℃,-10℃,3,36
2℃,-10℃,3,113
25℃,11℃,3,82
24℃,11℃,3,154
23℃,11℃,3,70
-3℃,-11℃,3,43
29℃,12℃,3,73
27℃,12℃,3,196
22℃,12℃,3,86
20℃,12℃,3,179
27℃,13℃,3,83
26℃,13℃,3,120
24℃,13℃,3,200
23℃,13℃,3,79
29℃,14℃,3,128
28℃,14℃,3,71
27℃,14℃,3,43
27℃,14℃,3,134
30℃,15℃,3,144
29℃,15℃,3,65
29℃,15℃,3,114
28℃,15℃,3,99
31℃,16℃,3,91
29℃,16℃,3,53
26℃,16℃,3,67
33℃,17℃,3,55
33℃,17℃,3,79
31℃,17℃,3,65
30℃,17℃,3,38
29℃,17℃,3,96
27℃,17℃,3,120
32℃,18℃,3,78
31℃,18℃,3,88
30℃,18℃,3,34
25℃,18℃,3,38
31℃,19℃,3,83
12℃,1℃,3,27
9℃,-1℃,3,29
34℃,20℃,3,105
33℃,20℃,3,40
32℃,20℃,3,36
32℃,20℃,3,77
31℃,20℃,3,95
23℃,20℃,3,49
37℃,21℃,3,83
35℃,21℃,3,69
32℃,21℃,3,165
36℃,22℃,3,131
34℃,23℃,3,117
33℃,23℃,3,124
35℃,25℃,3,120
13℃,2℃,3,34
13℃,2℃,3,72
8℃,-2℃,3,174
12℃,-2℃,3,63
15℃,3℃,3,42
13℃,3℃,3,169
9℃,-3℃,3,111
12℃,-3℃,3,177
18℃,4℃,3,139
