所在地,院士,硕士点,类型,重点学科,博士点,是否为985,是否为211,是否自主招生,平均线
武汉,0,0,政法,0,0,否,否,否,538
北京,0,0,农业,0,0,否,否,否,524
阜阳,0,0,综合,0,0,否,否,否,550
太原,0,64,医药,1,45,否,否,否,514
沈阳,4,23,工科,5,4,否,否,否,542
济南,0,0,艺术,0,0,否,否,否,560
重庆,0,0,语言,0,0,否,否,否,517
南京,10,127,工科,17,52,否,是,是,613
南京,0,0,工科,0,0,否,否,否,515
昆明,0,6,艺术,4,0,否,否,否,552
兰州,0,16,医药,5,0,否,否,否,548
武汉,0,0,师范,0,0,否,否,否,526
成都,0,0,师范,0,0,否,否,否,556
济南,3,66,工科,0,0,否,否,否,505
呼和浩特,1,92,综合,2,19,否,是,否,581
十堰,0,0,医药,0,0,否,否,否,555
湘潭,0,0,工科,0,0,否,否,否,550
广州,0,0,财经,0,0,否,否,否,495
长春,0,35,工科,9,0,否,否,否,498
驻马店,0,0,师范,0,0,否,否,否,538
南昌,0,0,综合,0,0,否,否,否,559
大连,0,76,财经,3,46,否,否,否,588
蚌埠,0,23,工科,0,0,否,否,否,559
青岛,5,122,工科,0,24,否,否,否,511
南充,0,0,综合,0,0,否,否,否,545
北京,0,0,综合,0,0,否,否,否,477
哈尔滨,1,126,农业,6,58,否,是,否,544
重庆,0,0,财经,0,0,否,否,否,540
四平,0,0,师范,0,0,否,否,否,554
北京,2,66,民族,27,25,是,是,否,612
西安,21,199,综合,20,114,是,是,是,613
呼和浩特,0,0,综合,0,0,否,否,否,556
抚州,1,0,工科,0,0,否,否,否,498
铜仁,0,0,综合,0,0,否,否,否,548
北京,0,0,工科,0,0,否,否,否,548
北京,13,234,工科,12,117,是,是,否,628
广州,0,0,农业,0,0,否,否,否,566
邢台,0,0,师范,0,0,否,否,否,557
永州,0,0,综合,0,0,否,否,否,553
昆明,0,45,财经,12,0,否,否,否,509
苏州,4,10,工科,3,0,否,否,否,515
文山,0,0,师范,0,0,否,否,否,538
常州,0,0,工科,0,0,否,否,否,547
青岛,3,178,综合,2,35,否,否,否,550
石家庄,0,17,医药,4,1,否,否,否,513
天津,0,0,综合,0,0,否,否,否,474
淮南,0,0,师范,0,0,否,否,否,550
重庆,3,204,综合,5,106,否,是,否,569
广州,0,0,师范,0,0,否,否,否,541
海宁,0,0,财经,0,0,否,否,否,550
马鞍山,0,40,工科,0,2,否,否,否,554
黄骅,0,0,综合,0,0,否,否,否,475
大连,27,260,工科,12,155,是,是,是,607
上海,0,0,财经,0,0,否,否,否,544
郑州,2,52,工科,3,0,否,否,否,517
荆州,2,151,综合,22,18,否,否,否,510
烟台,0,0,综合,0,0,否,否,否,554
桂林,0,34,工科,21,1,否,否,否,513
临沂,0,0,师范,0,0,否,否,否,545
楚雄,0,0,师范,0,0,否,否,否,546
新乡,0,0,综合,0,0,否,否,否,561
长沙,0,0,师范,0,0,否,否,否,557
武汉,0,0,工科,0,0,否,否,否,470
珠海,0,0,综合,0,0,否,否,否,494
长沙,0,0,政法,0,0,否,否,否,576
武汉,0,0,工科,0,0,否,否,否,482
武夷山,0,0,综合,0,0,否,否,否,557
广州,0,0,财经,0,0,否,否,否,550
巢湖,0,0,师范,0,0,否,否,否,549
银川,0,183,综合,2,28,否,是,否,550
合肥,0,0,医药,0,0,否,否,否,549
天津,26,35,工科,15,27,是,是,是,645
北京,59,244,综合,81,201,是,是,是,694
上海,13,38,师范,10,26,是,是,是,612
温州,0,0,师范,0,0,否,否,否,548
北京,0,12,语言,0,0,否,否,否,593
西安,0,0,师范,0,0,否,否,否,538
长春,0,0,工科,0,0,否,否,否,474
合作,0,0,师范,0,0,否,否,否,555
成都,0,0,体育,0,0,否,否,否,539
湘潭,0,0,综合,0,0,否,否,否,557
重庆,0,0,工科,0,0,否,否,否,560
长沙,11,198,综合,14,25,是,是,是,586
杭州,0,0,政法,0,0,否,否,否,550
大连,0,18,农业,4,0,否,否,否,506
唐山,16,19,工科,0,0,否,否,否,511
昆明,0,34,农业,17,5,否,否,否,541
西安,0,21,政法,10,0,否,否,否,516
太原,0,56,财经,0,3,否,否,否,511
石家庄,0,0,工科,0,0,否,否,否,535
南京,0,84,医药,3,55,否,否,否,527
武汉,0,0,工科,0,0,否,否,否,535
咸阳,0,0,师范,13,0,否,否,否,553
杭州,0,1,语言,0,0,否,否,否,527
大理,0,0,综合,5,0,否,否,否,505
南宁,0,0,综合,0,0,否,否,否,553
广州,0,0,工科,0,0,否,否,否,552
北京,0,0,政法,0,0,否,否,否,612
盐城,0,0,工科,0,0,否,否,否,546
绵阳,0,0,师范,0,0,否,否,否,552
温州,0,8,医药,4,1,否,否,否,560
长治,0,0,医药,5,0,否,否,否,562
石家庄,0,0,师范,0,0,否,否,否,559
长沙,0,0,工科,0,0,否,否,否,469
兰州,0,0,财经,0,0,否,否,否,551
保定,0,0,财经,0,0,否,否,否,512
上海,0,34,政法,1,12,否,否,否,547
南京,2,33,农业,0,16,否,是,否,571
萍乡,0,0,综合,0,0,否,否,否,557
郑州,0,0,师范,0,0,否,否,否,553
遵义,0,0,师范,0,0,否,否,否,562
沈阳,1,26,医药,3,21,否,否,否,523
武汉,0,0,工科,0,0,否,否,否,552
南京,0,0,综合,0,0,否,否,否,475
广州,0,5,体育,2,0,否,否,否,554
上海,0,0,综合,0,0,否,否,否,548
连云港,0,5,工科,0,0,否,否,否,505
天津,0,0,医药,0,0,否,否,否,484
长治,0,0,师范,0,0,否,否,否,568
白城,0,0,师范,1,0,否,否,否,543
聊城,0,0,综合,0,0,否,否,否,558
吕梁,0,0,师范,0,0,否,否,否,547
六盘水,0,0,师范,0,0,否,否,否,556
成都,14,35,综合,1,0,否,否,否,506
苏州,0,0,综合,0,0,否,否,否,557
长沙,3,61,工科,7,7,否,否,否,562
郑州,0,0,财经,0,0,否,否,否,536
深圳,17,55,综合,11,12,否,否,否,536
常州,0,49,工科,0,1,否,否,否,555
郑州,0,61,财经,0,0,否,否,否,509
北京,0,39,财经,2,15,否,是,否,677
银川,0,28,医药,1,0,否,否,否,554
长沙,0,0,师范,0,0,否,否,否,549
邵阳,2,0,工科,3,0,否,否,否,549
西安,0,0,综合,0,0,否,否,否,566
郑州,3,62,工科,4,0,否,否,否,499
南京,1,252,师范,9,153,否,是,是,594
西安,11,63,工科,5,27,否,是,否,590
桂林,0,172,师范,14,12,否,否,否,591
广州,0,0,工科,0,0,否,否,否,552
杭州,0,0,工科,0,0,否,否,否,499
乌鲁木齐,0,112,师范,0,0,否,否,否,553
乌鲁木齐,0,83,综合,9,12,否,是,否,555
杭州,0,106,工科,0,14,否,否,否,518
北京,0,0,财经,1,0,否,否,否,515
杭州,26,317,综合,35,283,是,是,是,659
南京,0,5,艺术,0,5,否,否,否,547
南京,0,0,综合,0,0,否,否,否,553
南京,4,127,工科,1,41,否,否,否,525
唐山,0,0,工科,0,0,否,否,否,474
杭州,0,0,工科,0,0,否,否,否,551
淮安,0,0,师范,0,0,否,否,否,534
兰州,9,187,综合,10,56,是,是,是,597
南昌,0,0,综合,0,0,否,否,否,473
保定,0,97,农业,1,42,否,否,否,547
上海,0,0,工科,0,0,否,否,否,554
太原,5,62,工科,1,23,否,否,否,513
绵阳,0,0,艺术,0,0,否,否,否,549
杭州,0,0,工科,0,0,否,否,否,535
广州,0,0,财经,0,0,否,否,否,549
北京,0,6,财经,0,0,否,否,否,530
成都,38,43,工科,6,15,否,是,否,554
